budget_project_id,logic1_point,logic1_reason
6040,4.0,プラスチック資源循環の促進は評価できるが、outcomeが具体的でない。
7193,3.0,災害対応能力強化は評価できるが、outcomeが具体的でない。
7455,4.0,再エネ導入促進は評価できるが、outcomeが具体的でない。
7260,2.0,スマートメーターの導入件数がoutcomeとして不十分で、具体的な成果が見えにくい。
1042,2.0,セミナー参加者数がoutcomeとして不十分で、具体的な成果が見えにくい。
160,3.0,防災体制の構築は評価できるが、outcomeが具体的でない。
19625,4.0,試験研究炉の設計は評価できるが、outcomeが具体的でない。
7183,3.0,次世代航空機の開発は評価できるが、outcomeが具体的でない。
5047,2.0,技術的知見の取得がoutcomeとして不十分で、具体的な成果が見えにくい。
3882,2.0,石炭資源量の調査がoutcomeとして不十分で、具体的な成果が見えにくい。
3795,5.0,電力システムの効率化は直接的な効果が期待できる。
3710,3.0,国家備蓄の管理は評価できるが、outcomeが具体的でない。
6010,4.0,資源国との協力は評価できるが、outcomeが具体的でない。
1688,3.0,研究設備の整備は評価できるが、outcomeが具体的でない。
1725,4.0,原子力技術の研究開発は評価できるが、outcomeが具体的でない。
3693,3.0,国家備蓄の管理は評価できるが、outcomeが具体的でない。
3716,4.0,権益獲得の促進は評価できるが、outcomeが具体的でない。
3862,2.0,調査件数がoutcomeとして不十分で、具体的な成果が見えにくい。
6034,5.0,省エネ設備の更新は直接的な効果が期待できる。
4733,4.0,地域エネルギーシステムの構築は評価できるが、outcomeが具体的でない。
7204,5.0,グリーン成長戦略の実行は直接的な効果が期待できる。
1714,2.0,シンポジウムの参加者数がoutcomeとして不十分で、具体的な成果が見えにくい。
4767,4.0,地域脱炭素の促進は評価できるが、outcomeが具体的でない。
5070,3.0,疫学調査は評価できるが、outcomeが具体的でない。
1039,3.0,浮体式洋上風力の普及は評価できるが、outcomeが具体的でない。
3743,4.0,AI技術の推進は評価できるが、outcomeが具体的でない。
3866,3.0,製造プロセスの革新は評価できるが、outcomeが具体的でない。
1045,2.0,視察回数がoutcomeとして不十分で、具体的な成果が見えにくい。
5684,2.0,会合の開催がoutcomeとして不十分で、具体的な成果が見えにくい。
7187,5.0,高効率給湯器の導入支援は直接的な省エネ効果が期待できる。
3843,2.0,広報活動のoutcomeが曖昧で、具体的な成果が見えにくい。
5036,3.0,研修の実施は評価できるが、outcomeが具体的でない。
5056,3.0,国際共同研究は評価できるが、outcomeが具体的でない。
7224,2.0,事務局設置がoutcomeとして不十分で、具体的な成果が見えにくい。
1719,3.0,理解促進は評価できるが、outcomeが具体的でない。
7485,2.0,審査業務の効率化がoutcomeとして不十分で、具体的な成果が見えにくい。
5059,2.0,知見の収集がoutcomeとして不十分で、具体的な成果が見えにくい。
5846,4.0,脱炭素経営の促進は評価できるが、outcomeが具体的でない。
3752,3.0,次世代航空機の研究開発は評価できるが、outcomeが具体的でない。
3846,3.0,技術開発の支援は評価できるが、outcomeが具体的でない。
3973,3.0,技術開発の支援は評価できるが、outcomeが具体的でない。
3715,4.0,次世代燃料の安定供給は評価できるが、outcomeが具体的でない。
3704,3.0,災害対応能力強化は評価できるが、outcomeが具体的でない。
3774,4.0,再生可能エネルギーの運用は評価できるが、outcomeが具体的でない。
5005,4.0,CO2削減計画の支援は評価できるが、outcomeが具体的でない。
3807,3.0,保険加入の支援は評価できるが、outcomeが具体的でない。
5068,3.0,放射線量マップの作成は評価できるが、outcomeが具体的でない。
5073,3.0,研修の実施は評価できるが、outcomeが具体的でない。
6075,4.0,国際標準の開発は評価できるが、outcomeが具体的でない。
3705,3.0,災害対応能力強化は評価できるが、outcomeが具体的でない。
1186,2.0,IAEAの活動がoutcomeとして不十分で、具体的な成果が見えにくい。
5847,4.0,グリーンファイナンスの促進は評価できるが、outcomeが具体的でない。
3845,3.0,交付金の活用は評価できるが、outcomeが具体的でない。
20017,4.0,事故時の事象解明は評価できるが、outcomeが具体的でない。
5937,2.0,交付金の支払いがoutcomeとして不十分で、具体的な成果が見えにくい。
7129,4.0,水素事業の促進は評価できるが、outcomeが具体的でない。
5042,3.0,情報収集は評価できるが、outcomeが具体的でない。
3713,3.0,研修の実施は評価できるが、outcomeが具体的でない。
5051,3.0,IAEA基準の策定は評価できるが、outcomeが具体的でない。
7623,4.0,廃プラスチックの利用促進は評価できるが、outcomeが具体的でない。
5939,2.0,資産評価がoutcomeとして不十分で、具体的な成果が見えにくい。
3757,3.0,次世代航空機の技術開発は評価できるが、outcomeが具体的でない。
7269,5.0,充電インフラ整備は直接的な効果が期待できる。
5058,3.0,経年劣化評価は評価できるが、outcomeが具体的でない。
19732,4.0,資源循環の促進は評価できるが、outcomeが具体的でない。
3770,2.0,会合の開催がoutcomeとして不十分で、具体的な成果が見えにくい。
3985,4.0,国際会議の開催は評価できるが、outcomeが具体的でない。
1720,3.0,人材育成は評価できるが、outcomeが具体的でない。
7115,3.0,データ連携基盤の提供は評価できるが、outcomeが具体的でない。
4709,5.0,ZEB化支援は直接的な効果が期待できる。
4758,3.0,CO2削減実績の把握は評価できるが、outcomeが具体的でない。
3698,3.0,国家備蓄の管理は評価できるが、outcomeが具体的でない。
5021,4.0,脱炭素型カーシェアの促進は評価できるが、outcomeが具体的でない。
7625,4.0,建築物の脱炭素改修は評価できるが、outcomeが具体的でない。
3778,4.0,太陽光発電の技術開発は評価できるが、outcomeが具体的でない。
7135,4.0,GXサプライチェーンの構築は評価できるが、outcomeが具体的でない。
6002,3.0,アジアのグリーン成長は評価できるが、outcomeが具体的でない。
5009,3.0,離島のエネルギーシステムは評価できるが、outcomeが具体的でない。
3875,4.0,J-クレジット制度の運営は評価できるが、outcomeが具体的でない。
7487,3.0,安全研究の支援は評価できるが、outcomeが具体的でない。
1721,3.0,教育への取組は評価できるが、outcomeが具体的でない。
5046,3.0,断層の活動性評価は評価できるが、outcomeが具体的でない。
3822,3.0,放射性廃棄物処分の基盤整備は評価できるが、outcomeが具体的でない。
7116,4.0,蓄電池サプライチェーンの強靱化は評価できるが、outcomeが具体的でない。
3960,4.0,木質バイオマスの利用促進は評価できるが、outcomeが具体的でない。
3964,3.0,エネルギー利用最適化は評価できるが、outcomeが具体的でない。
4696,4.0,CCS技術の開発は評価できるが、outcomeが具体的でない。
3717,3.0,技術支援は評価できるが、outcomeが具体的でない。
5024,4.0,潮流発電の実証は評価できるが、outcomeが具体的でない。
3957,4.0,半導体技術の開発は評価できるが、outcomeが具体的でない。
1710,3.0,人材育成は評価できるが、outcomeが具体的でない。
3792,4.0,次世代燃料の技術開発は評価できるが、outcomeが具体的でない。
7118,4.0,太陽光発電の導入支援は評価できるが、outcomeが具体的でない。
6238,4.0,廃プラスチックの利用促進は評価できるが、outcomeが具体的でない。
7184,3.0,セミナー開催は評価できるが、outcomeが具体的でない。
4755,4.0,省CO2製品の開発は評価できるが、outcomeが具体的でない。
1716,3.0,科学技術振興は評価できるが、outcomeが具体的でない。
4765,4.0,リサイクルの促進は評価できるが、outcomeが具体的でない。
3941,3.0,利子補給の支援は評価できるが、outcomeが具体的でない。
21012,3.0,探鉱調査は評価できるが、outcomeが具体的でない。
1734,2.0,outputとoutcomeの間に飛躍があり、具体的な成果が見えにくい。
3823,4.0,outputとoutcomeが比較的一貫しており、技術開発の進捗が評価されている。
3861,1.0,FS案件の採択がoutcomeとして不十分で、具体的な成果に結びついていない。
3799,3.0,再生可能エネルギーの導入支援は評価できるが、outcomeの具体性に欠ける。
3995,2.0,outputが論文や報告に偏っており、実際の成果が見えにくい。
5034,3.0,国際機関への参加は重要だが、具体的な成果が不明確。
4681,4.0,ESG融資の拡大は評価できるが、outcomeの具体性がやや不足。
3825,2.0,ウランの安定供給に関するoutcomeが具体的でない。
7197,4.0,断熱改修によるCO2削減は評価できるが、長期的な成果が不明確。
3831,3.0,雇用促進は評価できるが、outcomeの具体性に欠ける。
3990,2.0,outputが技術開発に偏っており、実際の成果が見えにくい。
5076,3.0,モニタリングシステムの整備は評価できるが、具体的な成果が不明確。
7112,4.0,CCS事業の推進は評価できるが、具体的な成果が不明確。
3847,2.0,原子力産業基盤の維持は重要だが、具体的な成果が見えにくい。
5854,3.0,AI半導体の開発は評価できるが、具体的な成果が不明確。
3837,2.0,交付金の使用目的が広範で、具体的な成果が見えにくい。
7122,4.0,省エネ設備の導入支援は評価できるが、具体的な成果が不明確。
6220,5.0,脱炭素化の具体的な取り組みが評価できる。
5863,5.0,資源循環技術の開発は具体的で評価できる。
3844,1.0,資金交付の目的が不明確で、具体的な成果が見えにくい。
3094,3.0,合金開発の取り組みは評価できるが、具体的な成果が不明確。
19897,5.0,製造プロセスの転換によるCO2削減は具体的で評価できる。
3111,2.0,技術的知見の収集は評価できるが、具体的な成果が不明確。
5055,3.0,火山モニタリングの取り組みは評価できるが、具体的な成果が不明確。
3786,2.0,省エネ投資の促進は評価できるが、具体的な成果が不明確。
3766,1.0,市場分析支援の具体的な成果が見えにくい。
20828,3.0,CO2利用技術の検討は評価できるが、具体的な成果が不明確。
19610,5.0,再エネ導入の具体的な取り組みが評価できる。
5033,3.0,IAEAへの拠出は重要だが、具体的な成果が不明確。
20939,4.0,中小水力発電の調査は評価できるが、具体的な成果が不明確。
20937,2.0,航空燃料供給の安定化に関する具体的な成果が見えにくい。
4744,4.0,途上国支援の取り組みは評価できるが、具体的な成果が不明確。
3811,2.0,技術開発の具体的な成果が見えにくい。
3694,3.0,LPガスの防災対応は評価できるが、具体的な成果が不明確。
7133,2.0,水素供給基盤の整備に関する具体的な成果が見えにくい。
4687,3.0,国民運動の推進は評価できるが、具体的な成果が不明確。
5049,2.0,リスク情報の取得は評価できるが、具体的な成果が不明確。
3742,4.0,若手研究者の支援は評価できるが、具体的な成果が不明確。
3857,5.0,リサイクル技術の開発は具体的で評価できる。
20112,5.0,省CO2化の具体的な取り組みが評価できる。
4742,4.0,JCMの取り組みは評価できるが、具体的な成果が不明確。
20998,3.0,アジアのゼロエミッション化の取り組みは評価できるが、具体的な成果が不明確。
1728,2.0,施設整備の具体的な成果が見えにくい。
6006,3.0,設備投資の支援は評価できるが、具体的な成果が不明確。
3700,2.0,原油貯蔵の具体的な成果が見えにくい。
7186,4.0,ディマンドリスポンスの拡大は評価できるが、具体的な成果が不明確。
7457,3.0,デコ活の推進は評価できるが、具体的な成果が不明確。
1726,2.0,国際機関への参加は重要だが、具体的な成果が不明確。
161,4.0,原子力災害対応の研修は評価できるが、具体的な成果が不明確。
4756,3.0,自然冷媒機器の導入は評価できるが、具体的な成果が不明確。
3962,4.0,省エネ設備の導入支援は評価できるが、具体的な成果が不明確。
5066,2.0,環境放射能調査の具体的な成果が見えにくい。
19892,5.0,サーキュラーエコノミーの具体的な取り組みが評価できる。
7459,3.0,環境負荷削減の取り組みは評価できるが、具体的な成果が不明確。
3859,2.0,拠出金の具体的な成果が見えにくい。
5018,4.0,浄化槽のCO2削減は評価できるが、具体的な成果が不明確。
6092,3.0,蓄電池の導入支援は評価できるが、具体的な成果が不明確。
20978,4.0,ディマンドリスポンスの拡大は評価できるが、具体的な成果が不明確。
5858,3.0,地熱発電の技術開発は評価できるが、具体的な成果が不明確。
5023,4.0,触媒技術の開発は評価できるが、具体的な成果が不明確。
3522,3.0,ポスト5G技術の開発は評価できるが、具体的な成果が不明確。
5082,2.0,廃棄物処理技術の具体的な成果が見えにくい。
19866,4.0,坑廃水浄化システムの実証は評価できるが、具体的な成果が不明確。
1723,2.0,国際機関への参加は重要だが、具体的な成果が不明確。
5085,3.0,情報ネットワークの整備は評価できるが、具体的な成果が不明確。
3692,2.0,石油ガスセキュリティの具体的な成果が見えにくい。
5025,4.0,ESG金融の取り組みは評価できるが、具体的な成果が不明確。
3840,3.0,国際的な原子力支援は評価できるが、具体的な成果が不明確。
3779,2.0,FIT制度の具体的な成果が見えにくい。
3820,3.0,用地取得の支援は評価できるが、具体的な成果が不明確。
3983,4.0,坑廃水浄化システムの実証は評価できるが、具体的な成果が不明確。
5943,3.0,次世代コンピューティング技術の開発は評価できるが、具体的な成果が不明確。
7237,2.0,APECの取り組みの具体的な成果が見えにくい。
5075,3.0,環境放射線の監視は評価できるが、具体的な成果が不明確。
1717,2.0,研修事業の具体的な成果が見えにくい。
20829,4.0,省エネ住宅の普及は評価できるが、具体的な成果が不明確。
3754,2.0,エネルギー政策の普及広報の具体的な成果が見えにくい。
5041,3.0,原子力規制検査の取り組みは評価できるが、具体的な成果が不明確。
5043,4.0,福島第一原発の廃炉作業の安全研究は評価できるが、具体的な成果が不明確。
3734,3.0,インフラ案件の支援は評価できるが、具体的な成果が不明確。
5077,2.0,緊急時対応システムの具体的な成果が見えにくい。
7209,3.0,資源循環システムの強靱化は評価できるが、具体的な成果が不明確。
20607,4.0,太陽光発電技術の開発は評価できるが、具体的な成果が不明確。
5031,3.0,情報提供体制の整備は評価できるが、具体的な成果が不明確。
3967,4.0,水素社会モデルの構築は評価できるが、具体的な成果が不明確。
3800,2.0,広報活動の具体的な成果が見えにくい。
3968,3.0,鉱物資源の探査は評価できるが、具体的な成果が不明確。
3763,3.0,新エネルギー技術の調査は評価できるが、具体的な成果が不明確。
4736,4.0,バイオプラスチックの社会実装は評価できるが、具体的な成果が不明確。
21001,3.0,トランジション・ファイナンスの取り組みは評価できるが、具体的な成果が不明確。
3829,3.0,ガラス固化技術の開発は評価できるが、具体的な成果が不明確。
5048,2.0,新規制基準の具体的な成果が見えにくい。
4735,4.0,低炭素型車両の導入支援は評価できるが、具体的な成果が不明確。
5002,3.0,脱炭素まちづくりの取り組みは評価できるが、具体的な成果が不明確。
19873,2.0,石油備蓄の具体的な成果が見えにくい。
3815,3.0,地域振興の取り組みは評価できるが、具体的な成果が不明確。
3936,4.0,地熱発電技術の開発は評価できるが、具体的な成果が不明確。
3963,5.0,ZEH/ZEBの普及は具体的で評価できる。
3954,3.0,革新型蓄電池の開発は評価できるが、具体的な成果が不明確。
1715,2.0,観光産業の具体的な成果が見えにくい。
7143,3.0,高速炉の研究開発は評価できるが、具体的な成果が不明確。
3744,4.0,SSPS技術の開発は評価できるが、具体的な成果が不明確。
3812,3.0,海底鉱床の調査は評価できるが、具体的な成果が不明確。
7185,3.0,サーキュラーエコノミーの取り組みは評価できるが、具体的な成果が不明確。
4766,4.0,防災設備の導入は評価できるが、具体的な成果が不明確。
5860,5.0,水素サプライチェーンの構築は具体的で評価できる。
3860,5.0,CCSの実証試験は具体的で評価できる。
5054,2.0,技術的知見の具体的な成果が見えにくい。
20964,3.0,SSネットワークの維持は評価できるが、具体的な成果が不明確。
547,4.0,福島復興の取り組みは評価できるが、具体的な成果が不明確。
3785,2.0,利子補給の具体的な成果が見えにくい。
1713,3.0,国際協力の取り組みは評価できるが、具体的な成果が不明確。
3711,3.0,離島のガソリン流通支援は評価できるが、具体的な成果が不明確。
5053,2.0,PRA手法の具体的な成果が見えにくい。
3718,3.0,地質構造調査の取り組みは評価できるが、具体的な成果が不明確。
7131,3.0,再エネ発電設備の調査は評価できるが、具体的な成果が不明確。
4751,4.0,廃棄物処理設備の導入は評価できるが、具体的な成果が不明確。
3958,4.0,自動運転技術の開発は評価できるが、具体的な成果が不明確。
20973,3.0,石油・天然ガスの権益獲得は評価できるが、具体的な成果が不明確。
7113,4.0,航空機向け推進システムの開発は評価できるが、具体的な成果が不明確。
1718,2.0,交付金の具体的な成果が見えにくい。
19827,3.0,節電プログラムの支援は評価できるが、具体的な成果が不明確。
3687,2.0,漏洩防止の具体的な成果が見えにくい。
3821,2.0,政策調査の具体的な成果が見えにくい。
1711,3.0,人材育成の取り組みは評価できるが、具体的な成果が不明確。
3810,4.0,地熱開発の支援は評価できるが、具体的な成果が不明確。
5037,3.0,プラントシミュレータの研修は評価できるが、具体的な成果が不明確。
7096,4.0,GX分野のスタートアップ支援は評価できるが、具体的な成果が不明確。
162,3.0,避難方法の改善は評価できるが、具体的な成果が不明確。
5855,4.0,量子・古典技術の開発は評価できるが、具体的な成果が不明確。
3836,1.0,交付金の成果目標が不明確で、outcomeが曖昧。
3751,2.0,製造プロセスの開発がCO2削減に直結するか不明確。
4727,3.0,データベース整備が再エネ導入に貢献するが、直接的なoutcomeが不明。
6097,4.0,GXリーグの排出量カバー率が高く、outcomeが明確。
19933,2.0,技術開発が送電容量に直結するか不明確。
7262,3.0,再エネ電源構成比率の達成が曖昧。
4716,4.0,自然冷媒機器の普及がCO2削減に貢献。
7469,3.0,マイクログリッドの導入効果が不明確。
3756,4.0,バイオ由来製品の普及がCO2削減に貢献。
5081,1.0,研究の成果が具体的なoutcomeに結びついていない。
1708,3.0,研究成果の最大化が具体的なoutcomeに結びついていない。
7195,2.0,LPガス設備の導入が直接的なoutcomeに結びついていない。
3767,1.0,調査票の回収がエネルギー需給に直接影響しない。
5849,4.0,循環経済の実証がCO2削減に貢献。
3575,1.0,国際的なプレゼンス強化が具体的なoutcomeに結びついていない。
20189,4.0,水素サプライチェーンの実証がCO2削減に貢献。
3708,1.0,交付金の成果が不明確で、outcomeが曖昧。
3688,2.0,エネルギーセキュリティの強化が具体的なoutcomeに結びついていない。
5856,3.0,全固体LIBの開発がCO2削減に貢献するが、具体的なoutcomeが不明。
3699,1.0,統計調査の公表がエネルギー需給に直接影響しない。
5003,2.0,LAPSSの利用がゼロカーボンシティに直結するか不明確。
7127,3.0,輸送効率化が省エネに貢献するが、具体的なoutcomeが不明。
7125,4.0,DERの導入が再エネ電源構成比率の達成に貢献。
7191,2.0,電制装置の設置が再エネ送電可能量に直結するか不明確。
3834,1.0,交付金の成果が不明確で、outcomeが曖昧。
5032,3.0,規制情報交換が原子力安全に貢献するが、具体的なoutcomeが不明。
3712,2.0,新規案件支援がエネルギーセキュリティに直結するか不明確。
6219,4.0,省CO2型設備の導入がCO2削減に貢献。
3841,1.0,OECD/NEAの活動が具体的なoutcomeに結びついていない。
4734,3.0,排出量管理システムが温室効果ガス削減に貢献するが、具体的なoutcomeが不明。
1722,2.0,理解醸成活動が安全・安心に直結するか不明確。
3691,1.0,エネルギー安全保障への貢献が具体的なoutcomeに結びついていない。
159,3.0,防災対策が安全確保に貢献するが、具体的なoutcomeが不明。
4760,4.0,物流の脱炭素化がCO2削減に貢献。
7210,2.0,揚水発電の補助が具体的なoutcomeに結びついていない。
3788,4.0,洋上風力発電の技術開発が導入拡大に貢献。
20736,3.0,廃止措置の促進が安全確保に貢献するが、具体的なoutcomeが不明。
4695,4.0,実証事業がCO2削減に貢献。
5079,3.0,医療体制の充実が安全確保に貢献するが、具体的なoutcomeが不明。
3781,2.0,情報発信が省エネ行動に直結するか不明確。
20963,3.0,サーキュラーエコノミーの理解促進が環境意識向上に貢献するが、具体的なoutcomeが不明。
3782,1.0,法制度導入がエネルギー安全保障に直結するか不明確。
7456,4.0,ZEBの普及がCO2削減に貢献。
3987,3.0,促進区域指定が再エネ導入に貢献するが、具体的なoutcomeが不明。
3730,2.0,価格抑制がエネルギー安定供給に直結するか不明確。
3697,1.0,備蓄管理がエネルギー安定供給に直結するか不明確。
5000,3.0,技術評価が安全基準に貢献するが、具体的なoutcomeが不明。
5944,4.0,水力発電の導入支援がエネルギーミックスに貢献。
5039,2.0,安全研究が具体的なoutcomeに結びついていない。
3900,3.0,JOGMECの業務がエネルギー安定供給に貢献するが、具体的なoutcomeが不明。
3865,4.0,脱炭素技術の実証がCO2削減に貢献。
4703,3.0,水素サプライチェーンの実証がCO2削減に貢献するが、具体的なoutcomeが不明。
3842,1.0,交付金の成果が不明確で、outcomeが曖昧。
7470,4.0,商用車の電動化がCO2削減に貢献。
21007,3.0,ロボット開発がデジタル社会に貢献するが、具体的なoutcomeが不明。
5782,2.0,システム統合が省エネ法に直結するか不明確。
4763,3.0,空調・水処理の実証がCO2削減に貢献するが、具体的なoutcomeが不明。
3764,2.0,鉱害防止がエネルギー効率に直結するか不明確。
3832,3.0,国際会議が脱炭素化に貢献するが、具体的なoutcomeが不明。
19654,1.0,研究の成果が具体的なoutcomeに結びついていない。
19618,4.0,ゼロエミッション船の建造がCO2削減に貢献。
3776,1.0,IRENAの活動が具体的なoutcomeに結びついていない。
3760,4.0,クリーンエネルギー自動車の普及がCO2削減に貢献。
5851,3.0,投融資の促進が脱炭素化に貢献するが、具体的なoutcomeが不明。
3830,2.0,技術開発が原子力安全に直結するか不明確。
6085,3.0,災害時の連携が復旧作業に貢献するが、具体的なoutcomeが不明。
3706,1.0,交付金の成果が不明確で、outcomeが曖昧。
7188,3.0,省エネ型給湯器の導入が省エネに貢献するが、具体的なoutcomeが不明。
5080,2.0,モニタリング技術が安全確保に直結するか不明確。
7463,4.0,断熱改修がCO2削減に貢献。
3689,1.0,会議開催がエネルギー市場の安定に直結するか不明確。
3806,4.0,水素技術の開発がCO2削減に貢献。
5861,3.0,洋上風力発電の調査が導入拡大に貢献するが、具体的なoutcomeが不明。
7458,3.0,利子補給が脱炭素化に貢献するが、具体的なoutcomeが不明。
3685,2.0,データ利活用が資源探査に直結するか不明確。
3702,1.0,品質分析が石油製品の適正化に直結するか不明確。
19894,4.0,燃料電池技術の開発がCO2削減に貢献。
3839,1.0,交付金の成果が不明確で、outcomeが曖昧。
6083,3.0,火力発電の技術開発がCO2削減に貢献するが、具体的なoutcomeが不明。
1727,2.0,設備整備が原子力研究に直結するか不明確。
4720,3.0,カーボンプライシングの調査がCO2削減に貢献するが、具体的なoutcomeが不明。
3970,2.0,トランジション・ファイナンスが具体的なoutcomeに結びついていない。
3953,3.0,生産ラインの技術開発が省エネに貢献するが、具体的なoutcomeが不明。
5064,3.0,保障措置の高度化が安全確保に貢献するが、具体的なoutcomeが不明。
4761,4.0,ZEHの普及がCO2削減に貢献。
1900,3.0,脱炭素先行地域の支援がCO2削減に貢献するが、具体的なoutcomeが不明。
2153,2.0,施設整備が原子力研究に直結するか不明確。
3838,1.0,交付金の成果が不明確で、outcomeが曖昧。
4729,2.0,情報発信が温室効果ガス削減に直結するか不明確。
19825,1.0,利子補給がエネルギー安定供給に直結するか不明確。
6059,3.0,リスク評価が事故件数の低減に貢献するが、具体的なoutcomeが不明。
7624,3.0,循環経済の加速化がCO2削減に貢献するが、具体的なoutcomeが不明。
3899,2.0,研究開発の成果が具体的なoutcomeに結びついていない。
6029,1.0,再エネ導入支援が具体的なoutcomeに結びついていない。
19727,4.0,生分解性プラスチックの開発がCO2削減に貢献。
4693,3.0,国際機関への拠出が再エネ普及に貢献するが、具体的なoutcomeが不明。
3789,2.0,技術開発支援が具体的なoutcomeに結びついていない。
7268,3.0,電動車の普及がCO2削減に貢献するが、具体的なoutcomeが不明。
7261,1.0,LPガスタンクの導入が具体的なoutcomeに結びついていない。
4754,4.0,低炭素型車両の導入がCO2削減に貢献。
5063,2.0,保障措置機器の設置が具体的なoutcomeに結びついていない。
3824,1.0,利子補給の成果が不明確で、outcomeが曖昧。
5848,3.0,リサイクル設備の導入がCO2削減に貢献するが、具体的なoutcomeが不明。
3735,2.0,技術シーズの発掘が具体的なoutcomeに結びついていない。
7259,1.0,値引き支援がエネルギー安定供給に直結するか不明確。
1724,2.0,調査が政策検討に直結するか不明確。
3980,3.0,国際協力が脱炭素化に貢献するが、具体的なoutcomeが不明。
7263,3.0,水素・アンモニアのプロジェクトがCO2削減に貢献するが、具体的なoutcomeが不明。
20591,2.0,国際協調が具体的なoutcomeに結びついていない。
4684,3.0,J-クレジット制度がCO2削減に貢献するが、具体的なoutcomeが不明。
20610,2.0,サーキュラーエコノミーの活動が具体的なoutcomeに結びついていない。
3686,1.0,事故原因の検討が具体的なoutcomeに結びついていない。
4749,3.0,インベントリの精緻化が温室効果ガス削減に貢献するが、具体的なoutcomeが不明。
7141,4.0,高温ガス炉の開発がCO2削減に貢献。
3769,2.0,プロジェクト支援が具体的なoutcomeに結びついていない。
3732,1.0,利子補給がガス供給に直結するか不明確。
3768,2.0,技術シーズの支援が具体的なoutcomeに結びついていない。
6087,3.0,冷媒技術の開発が温室効果ガス削減に貢献するが、具体的なoutcomeが不明。
5062,2.0,分析手法の開発が具体的なoutcomeに結びついていない。
5940,3.0,探査活動がエネルギー供給に貢献するが、具体的なoutcomeが不明。
5008,3.0,ESGリースが脱炭素化に貢献するが、具体的なoutcomeが不明。
1357,1.0,会議開催が資源確保に直結するか不明確。
19667,4.0,グリーンスローモビリティの導入がCO2削減に貢献。
4752,3.0,再エネ設備の導入がCO2削減に貢献するが、具体的なoutcomeが不明。
5074,2.0,測定法の改訂が具体的なoutcomeに結びついていない。
7192,3.0,海底送電の調査が再エネ導入に貢献するが、具体的なoutcomeが不明。
4746,4.0,GOSATの観測が温室効果ガス削減に貢献。
3827,2.0,基盤整備支援が具体的なoutcomeに結びついていない。
3695,1.0,売却手続が資産価値の最大化に直結するか不明確。
4679,3.0,廃棄物処理施設の改良がCO2削減に貢献するが、具体的なoutcomeが不明。
3114,2.0,outputが飲食店の利用促進に留まり、outcomeの売上高改善に直接つながるか不明確。
3852,3.0,調査から政策立案への流れはあるが、outcomeの基準超過件数との関連が弱い。
3663,4.0,中小企業の復旧支援が直接的に事業再建に結びつくため、outcomeが適切。
3606,2.0,調査の実施がoutcomeの政策立案に活用される件数に飛躍がある。
5935,3.0,外国人材受入れのoutputが人手不足解消のoutcomeに結びつくが、具体性に欠ける。
7321,2.0,新サービス提供が売上高向上に直結するか不明確で、outcomeに飛躍がある。
3896,4.0,支援が中小企業の成長に結びつくため、outcomeが適切。
7174,5.0,研究開発支援が起業や特許出願に結びつくため、outcomeが適切。
2400,3.0,賃金引上げが最低賃金の向上に結びつくが、outcomeの具体性に欠ける。
